xorg-server,"provides the xorg server"
xorg-xinit,"provides startx for the .xinit file"
xorg-xsetroot,"provides xsetroot for dwm statusbar"
xorg-xrandr,"provides a tool for resolution management"
xorg-xf86-video-amdgpu,"provides amd drivers for the X environment"
xdotool,"provides window actions through commandline"
xclip,"provides access to the clipboard through the commandline"
xwallpaper,"provides a wallpaper utility for X"
arch-install-scripts,"provides the arch installation commands, like genfstab"
unzip,"provides tool for unzipping zip files"
unrar,"provides tool for unrarring rar files"
ntfs-3g,"allows access to NTFS partitions"
exfat-utils,"allows management of fat drives"
dosfstools,"allows management of dos-like drives"
pulseaudio,"an audio system"
pamixer,"a mixer for pulseaudio"
pavucontrol,"a gui for managing pulseaudio"
pulseaudio-bluetooth,"bluetooth module for pulseaudio"
neovim,"the best text editor"
nano,"an alternative text editor"
dunst,"a notification system"
libnotify,"library needed for most notification systems"
zathura,"a pdf viewer"
zathura-pdf-mupdf,"mupdf lib for zathura"
mpv,"a video player"
ffmpeg,"a media processor"
sxiv,"a photo viewer"
fzf,"a fuzzy finder"
ttf-joypixels,"font with emoji"
ttf-liberation,"default font of choice for me"
blueman,"bluetooth device manager"
bash-language-server,"language server for bash"
clang,"language server for c-languages"
python-language-server,"language server for python"
texlab,"language server for latex"
vscode-css-languageserver,"language server for css"
vscode-html-languageserver,"language server for html"
vscode-json-languageserver,"language server for json"
